abundance,gdppc,location_id,year,temp_avg,precip_avg,state
3288,38225.29296875,1,1992,5.66216735839846,162.065002441406,27
2220,42840.3125,1,1996,5.35116882324221,161.834997558594,27
542,28386.796875,7,1990,12.6511657714844,123.907006835938,35
536,28723.693359375,7,1991,12.5426666259766,123.526010131836,35
1206,29172.21875,7,1992,12.4690826416016,123.882000732422,35
1581,30144.158203125,7,1993,12.5804992675781,122.682006835938,35
863,30985.947265625,7,1994,12.7851654052735,121.862008666992,35
1196,31573.626953125,7,1995,13.0092498779297,120.93600769043,35
440,31941.044921875,7,1996,13.1950836181641,119.938998413086,35
1446,32522.42578125,7,1997,13.4080017089844,121.192001342773,35
1442,33327.4453125,7,1998,13.5488372802735,121.126000976563,35
778,33822.69140625,7,1999,13.543002319336,121.85,35
591,34486.0546875,7,2000,13.655502319336,122.02200012207,35
293,36508.38671875,7,2001,13.7765014648438,122.694998168945,35
367,36762.328125,7,2002,13.9997497558594,121.39700012207,35
1395,37489.05859375,7,2003,14.1260009765625,121.576998901367,35
559,38793.12890625,7,2004,14.01533203125,121.164999389648,35
702,40168.27734375,7,2005,13.9675811767578,122.039993286133,35
505,40464.453125,7,2006,13.861996459961,122.889999389648,35
1264,40821.75390625,7,2007,13.8097442626953,123.305001831055,35
425,41114.4296875,7,2008,13.7650756835938,122.486001586914,35
12166.182975567,34444.10546875,8,1990,6.53983459472659,177.911010742188,55
17788.917963039,34102.58984375,8,1991,6.54241943359377,179.6830078125,55
7648.689985425,35297.30859375,8,1992,6.6080017089844,178.454000854492,55
5270.221001946,36086.66015625,8,1993,6.48416748046877,177.269006347656,55
15515.475468721,37572.98828125,8,1994,6.44216613769534,177.743002319336,55
27968.266499103,37967.39453125,8,1995,6.51125183105471,178.571005249023,55
108285.648298274,38929.03125,8,1996,6.33933715820315,177.383004760742,55
19467.468104829,40354.97265625,8,1997,6.12133483886721,176.060998535156,55
16983.718807135,42126.5625,8,1998,6.32124938964846,178.322994995117,55
22274.333905744,43579.74609375,8,1999,6.53566589355471,180.042001342773,55
15416.317024509,44181.75,8,2000,6.5078308105469,179.152993774414,55
29692.471089375,44405.6796875,8,2001,6.64399719238284,178.989993286133,55
23458.582499604,45331.42578125,8,2002,6.73241271972659,180.564996337891,55
18067.588298109,46232.9453125,8,2003,6.86491394042971,180.507995605469,55
66585.962276094,46821.8125,8,2004,6.88799743652346,180.902001953125,55
38866.495495215,47172.23828125,8,2005,7.03457946777346,181.60700378418,55
23277.476541892,47682.92578125,8,2006,7.3663269042969,182.87600402832,55
24480.024926519,47466.6484375,8,2007,7.52707824707034,184.413009643555,55
71668.007849519,46862.34765625,8,2008,7.20791320800784,182.772015380859,55
38130.698595098,46078.61328125,8,2009,7.03941345214846,182.078009033203,55
37243.00868919,47111.8984375,8,2010,7.10033264160159,184.091018676758,55
25180.480388503,47501.9921875,8,2011,6.98516540527346,183.946018981934,55
14002.074110897,48189.78515625,8,2012,7.2184997558594,184.605017089844,55
176,33053.77734375,10,1990,18.1447479248047,231.613999938965,48
133,32754.63671875,10,1991,18.1676635742188,230.950999450684,48
131,33666.4609375,10,1992,18.0646636962891,230.672999572754,48
